iter	Passed	Remaining
1004	7700	68925
1005	7707	68904
1006	7711	68866
1007	7722	68888
1008	7732	68900
1009	7743	68922
1010	7747	68883
1011	7755	68880
1012	7764	68888
1013	7772	68883
1014	7776	68840
1015	7780	68798
1016	7781	68732
1017	7792	68755
1018	7802	68769
1019	7806	68729
1020	7813	68710
1021	7817	68670
1022	7825	68668
1023	7835	68683
1024	7842	68669
1025	7846	68628
1026	7854	68622
1027	7860	68604
1028	7864	68561
1029	7872	68561
1030	7879	68546
1031	7889	68560
1032	7896	68545
1033	7901	68516
1034	7911	68524
1035	7914	68483
1036	7927	68517
1037	7932	68487
1038	7937	68454
1039	7944	68441
1040	7952	68443
1041	7957	68412
1042	7968	68430
1043	7979	68450
1044	7991	68480
1045	8001	68497
1046	8008	68478
1047	8015	68467
1048	8024	68474
1049	8031	68463
1050	8041	68467
1051	8044	68426
1052	8049	68397
1053	8059	68404
1054	8066	68396
1055	8075	68400
1056	8076	68337
1057	8084	68328
1058	8093	68336
1059	8102	68333
1060	8108	68318
1061	8119	68336
1062	8126	68318
1063	8136	68333
1064	8145	68337
1065	8156	68356
1066	8163	68344
1067	8171	68336
1068	8177	68321
1069	8184	68308
1070	8191	68291
1071	8202	68312
1072	8206	68273
1073	8216	68291
1074	8220	68250
1075	8227	68233
1076	8235	68230
1077	8244	68234
1078	8251	68224
1079	8261	68233
1080	8268	68219
1081	8278	68228
1082	8287	68235
1083	8294	68225
1084	8301	68213
1085	8312	68227
1086	8319	68213
1087	8329	68226
1088	8338	68230
1089	8348	68242
1090	8357	68246
1091	8364	68234
1092	8373	68237
1093	8380	68225
1094	8390	68231
1095	8400	68242
1096	8403	68203
1097	8414	68216
1098	8421	68205
1099	8428	68194
1100	8434	68176
1101	8441	68158
1102	8450	68165
1103	8460	68172
1104	8464	68134
1105	8470	68119
1106	8478	68107
1107	8485	68094
1108	8492	68084
1109	8501	68091
1110	8505	68052
1111	8513	68047
1112	8520	68031
1113	8527	68023
1114	8534	68010
1115	8544	68022
1116	8548	67982
1117	8554	67965
1118	8559	67933
1119	8568	67937
1120	8575	67925
1121	8584	67928
1122	8594	67936
1123	8600	67919
1124	8608	67910
1125	8617	67915
1126	8621	67879
1127	8629	67870
1128	8635	67853
1129	8640	67824
1130	8647	67807
1131	8653	67792
1132	8663	67803
1133	8667	67764
1134	8671	67731
1135	8675	67696
1136	8682	67680
1137	8686	67643
1138	8696	67654
1139	8702	67638
1140	8710	67626
1141	8716	67611
1142	8728	67635
1143	8735	67621
1144	8745	67634
1145	8749	67596
1146	8753	67561
1147	8760	67548
1148	8764	67512
1149	8767	67474
1150	8775	67464
1151	8782	67451
1152	8785	67415
1153	8792	67400
1154	8799	67383
1155	8806	67372
1156	8815	67378
1157	8822	67368
1158	8829	67351
1159	8836	67340
1160	8844	67333
1161	8845	67275
1162	8852	67265
1163	8859	67250
1164	8862	67213
1165	8873	67225
1166	8879	67207
1167	8889	67219
1168	8893	67184
1169	8903	67193
1170	8913	67202
1171	8921	67197
1172	8931	67209
1173	8936	67181
1174	8943	67173
1175	8947	67136
1176	8954	67127
1177	8963	67129
1178	8973	67139
1179	8983	67146
1180	8987	67112
1181	8993	67096
1182	9001	67085
1183	9007	67069
1184	9014	67054
1185	9023	67061
1186	9033	67072
1187	9037	67038
1188	9044	67027
1189	9052	67019
1190	9056	66983
1191	9066	66991
1192	9072	66975
1193	9076	66939
1194	9083	66927
1195	9087	66892
1196	9096	66896
1197	9103	66884
1198	9107	66852
1199	9108	66797
1200	9118	66807
1201	9127	66811
1202	9132	66783
1203	9140	66777
1204	9151	66791
1205	9157	66774
1206	9161	66738
1207	9168	66728
1208	9177	66730
1209	9184	66721
1210	9188	66687
1211	9192	66651
1212	9202	66661
1213	9205	66624
1214	9212	66613
1215	9222	66620
1216	9232	66632
1217	9239	66616
1218	9242	66580
1219	9251	66579
1220	9261	66587
1221	9268	66579
1222	9278	66590
1223	9283	66559
1224	9286	66523
1225	9296	66533
1226	9305	66536
1227	9315	66544
1228	9322	66529
1229	9332	66540
1230	9336	66505
1231	9342	66490
1232	9353	66502
1233	9357	66470
1234	9364	66461
1235	9370	66445
1236	9378	66437
1237	9382	66402
1238	9391	66410
1239	9398	66394
1240	9408	66403
1241	9418	66413
1242	9428	66424
1243	9437	66428
1244	9448	66440
1245	9454	66425
1246	9464	66435
1247	9468	66402
1248	9477	66406
1249	9484	66388
1250	9491	66381
1251	9496	66356
1252	9508	66376
1253	9518	66387
1254	9528	66397
1255	9539	66414
1256	9552	66442
1257	9563	66460
1258	9576	66490
1259	9583	66477
1260	9602	66547
1261	9612	66557
1262	9626	66594
1263	9631	66563
1264	9638	66557
1265	9647	66556
1266	9654	66546
1267	9665	66558
1268	9677	66582
1269	9689	66607
1270	9696	66594
1271	9708	66614
1272	9715	66602
1273	9723	66597
1274	9730	66588
1275	9742	66608
1276	9743	66554
1277	9751	66551
1278	9763	66573
1279	9772	66571
1280	9773	66519
1281	9780	66507
1282	9787	66501
1283	9795	66490
1284	9806	66505
1285	9810	66474
1286	9821	66488
1287	9825	66456
1288	9832	66444
1289	9842	66458
1290	9849	66447
1291	9857	66438
1292	9865	66434
1293	9870	66411
1294	9878	66401
1295	9889	66420
1296	9896	66409
1297	9905	66405
1298	9912	66394
1299	9923	66413
1300	9930	66399
1301	9931	66348
1302	9939	66339
1303	9948	66341
1304	9955	66329
1305	9964	66331
1306	9974	66344
1307	9981	66329
1308	9988	66320
1309	9995	66306
1310	10003	66297
1311	10009	66282
1312	10013	66248
1313	10017	66219
1314	10026	66222
1315	10036	66230
1316	10043	66215
1317	10050	66206
1318	10060	66211
1319	10067	66203
1320	10075	66194
1321	10085	66204
1322	10086	66153
1323	10095	66154
1324	10105	66162
1325	10111	66146
1326	10118	66135
1327	10122	66102
1328	10123	66051
1329	10130	66036
1330	10137	66026
1331	10143	66010
1332	10153	66019
1333	10160	66003
1334	10167	65995
1335	10177	65998
1336	10184	65990
1337	10190	65974
1338	10194	65940
1339	10202	65935
1340	10209	65921
1341	10213	65893
1342	10217	65862
1343	10226	65863
1344	10233	65853
1345	10237	65821
1346	10247	65828
1347	10256	65829
1348	10264	65823
1349	10273	65829
1350	10281	65820
1351	10287	65805
1352	10297	65813
1353	10304	65798
1354	10314	65809
1355	10321	65795
1356	10322	65744
1357	10332	65751
1358	10341	65752
1359	10348	65743
1360	10354	65727
1361	10362	65719
1362	10368	65705
1363	10379	65714
1364	10386	65704
1365	10392	65689
1366	10397	65662
1367	10398	65612
1368	10404	65596
1369	10411	65587
1370	10418	65575
1371	10425	65559
1372	10434	65564
1373	10444	65568
1374	10451	65561
1375	10462	65573
1376	10471	65577
1377	10480	65572
1378	10489	65576
1379	10497	65569
1380	10506	65570
1381	10518	65590
1382	10524	65576
1383	10534	65582
1384	10544	65588
1385	10551	65576
1386	10562	65592
1387	10572	65597
1388	10583	65611
1389	10590	65600
1390	10601	65611
1391	10609	65606
1392	10615	65592
1393	10628	65615
1394	10645	65667
1395	10659	65696
1396	10671	65715
1397	10677	65697
1398	10681	65669
1399	10691	65677
1400	10696	65649
1401	10702	65636
1402	10711	65633
1403	10717	65618
1404	10727	65627
1405	10734	65612
1406	10738	65581
1407	10747	65587
1408	10754	65572
1409	10759	65548
1410	10767	65540
1411	10778	65554
1412	10784	65540
1413	10792	65534
1414	10796	65504
1415	10803	65490
1416	10813	65498
1417	10817	65466
1418	10821	65437
1419	10830	65440
1420	10837	65427
1421	10843	65414
1422	10850	65398
1423	10860	65409
1424	10861	65362
1425	10868	65348
1426	10875	65338
1427	10884	65339
1428	10895	65348
1429	10901	65335
1430	10906	65312
1431	10910	65281
1432	10917	65266
1433	10924	65258
1434	10933	65259
1435	10943	65264
1436	10949	65249
1437	10960	65258
1438	10970	65266
1439	10979	65268
1440	10989	65275
1441	10996	65263
1442	11000	65231
1443	11001	65188
1444	11008	65177
1445	11015	65163
1446	11016	65116
1447	11026	65125
1448	11033	65110
1449	11040	65101
1450	11046	65086
1451	11051	65058
1452	11060	65062
1453	11067	65052
1454	11077	65054
1455	11087	65061
1456	11096	65065
1457	11105	65062
1458	11109	65034
1459	11120	65047
1460	11129	65049
1461	11140	65057
1462	11146	65042
1463	11153	65034
1464	11160	65019
1465	11170	65026
1466	11176	65012
1467	11187	65022
1468	11191	64992
1469	11198	64979
1470	11209	64991
1471	11216	64984
1472	11226	64987
1473	11230	64958
1474	11231	64915
1475	11239	64910
1476	11250	64918
1477	11256	64905
1478	11267	64912
1479	11270	64883
1480	11280	64888
1481	11290	64892
1482	11293	64862
1483	11304	64872
1484	11311	64857
1485	11319	64855
1486	11326	64844
1487	11334	64836
1488	11340	64823
1489	11351	64834
1490	11352	64788
1491	11361	64789
1492	11371	64796
1493	11381	64800
1494	11390	64801
1495	11398	64794
1496	11407	64794
1497	11418	64806
1498	11425	64797
1499	11436	64806
1500	11446	64811
1501	11453	64800
1502	11459	64785
1503	11471	64800
1504	11475	64771
1505	11485	64776
1506	11491	64761
1507	11503	64779
1508	11510	64766
1509	11518	64761
1510	11524	64746
1511	11532	64741
1512	11541	64742
1513	11549	64737
1514	11558	64737
1515	11569	64744
1516	11575	64730
1517	11579	64704
1518	11583	64675
1519	11590	64663
1520	11601	64672
1521	11605	64644
1522	11615	64651
1523	11621	64637
1524	11629	64628
1525	11638	64631
1526	11649	64638
1527	11655	64624
1528	11656	64580
1529	11664	64572
1530	11670	64558
1531	11677	64548
1532	11684	64534
1533	11694	64540
1534	11704	64544
1535	11714	64551
1536	11720	64537
1537	11728	64527
1538	11737	64530
1539	11742	64510
1540	11752	64510
1541	11762	64518
1542	11766	64489
1543	11772	64475
1544	11782	64480
1545	11788	64465
1546	11796	64458
1547	11803	64444
1548	11814	64457
1549	11820	64443
1550	11828	64435
1551	11832	64407
1552	11839	64394
1553	11846	64385
1554	11852	64370
1555	11860	64363
1556	11869	64362
1557	11879	64368
1558	11885	64353
1559	11895	64360
1560	11905	64364
1561	11915	64367
1562	11922	64355
1563	11931	64356
1564	11941	64364
1565	11946	64340
1566	11957	64350
1567	11967	64353
1568	11974	64345
1569	11981	64332
1570	11984	64303
1571	11995	64312
1572	11999	64284
1573	12003	64256
1574	12013	64261
1575	12017	64233
1576	12027	64238
1577	12030	64210
1578	12038	64204
1579	12046	64195
1580	12049	64167
1581	12058	64162
1582	12064	64148
1583	12074	64155
1584	12081	64141
1585	12082	64098
1586	12090	64091
1587	12096	64077
1588	12100	64049
1589	12104	64025
1590	12113	64026
1591	12124	64032
1592	12130	64018
1593	12138	64011
1594	12144	63997
1595	12155	64005
1596	12162	63996
1597	12171	63993
1598	12175	63967
1599	12179	63941
1600	12190	63950
1601	12196	63935
1602	12203	63927
1603	12207	63900
1604	12217	63901
1605	12222	63884
1606	12231	63883
1607	12239	63877
1608	12246	63863
1609	12254	63857
1610	12260	63846
1611	12268	63837
1612	12269	63796
1613	12276	63784
1614	12283	63773
1615	12296	63793
1616	12303	63784
1617	12307	63756
1618	12307	63713
1619	12317	63717
1620	12324	63704
1621	12333	63706
1622	12343	63709
1623	12353	63713
1624	12362	63715
1625	12370	63706
1626	12373	63678
1627	12380	63664
1628	12390	63669
1629	12399	63672
1630	12406	63659
1631	12412	63644
1632	12420	63636
1633	12429	63636
1634	12433	63612
1635	12442	63611
1636	12446	63584
1637	12450	63560
1638	12457	63550
1639	12464	63540
1640	12474	63540
1641	12484	63549
1642	12491	63536
1643	12501	63540
1644	12505	63513
1645	12511	63500
1646	12521	63504
1647	12522	63463
1648	12528	63449
1649	12538	63453
1650	12539	63412
1651	12543	63387
1652	12551	63378
1653	12557	63364
1654	12561	63338
1655	12571	63344
1656	12578	63331
1657	12585	63323
1658	12589	63296
1659	12593	63269
1660	12597	63247
1661	12601	63221
1662	12608	63209
1663	12618	63214
1664	12625	63201
1665	12632	63193
1666	12641	63192
1667	12648	63182
1668	12655	63170
1669	12662	63161
1670	12672	63164
1671	12682	63171
